Dados Covid-19 por cidade:

{casos | mortes | por 100k/Hab | tx morte (%)}

Abadia dos Dourados: 57 | 1 | 815.57 | 1.75%
Abaeté: 44 | 1 | 189.35 | 2.27%
Abre Campo: 48 | 0 | 356.77 | 0.00%
Acaiaca: 22 | 1 | 550.83 | 4.55%
Aguanil: 28 | 3 | 624.16 | 10.71%
Aimorés: 272 | 6 | 1,080.78 | 2.21%
Aiuruoca: 3 | 1 | 49.98 | 33.33%
Alagoa: 14 | 0 | 523.56 | 0.00%
Albertina: 10 | 1 | 332.56 | 10.00%
Alfenas: 579 | 26 | 723.79 | 4.49%
Alfredo Vasconcelos: 16 | 1 | 231.65 | 6.25%
Almenara: 615 | 10 | 1,467.92 | 1.63%
Alpercata: 169 | 5 | 2,276.40 | 2.96%
Alpinópolis: 69 | 4 | 347.55 | 5.80%
Alterosa: 13 | 1 | 89.87 | 7.69%
Alto Caparaó: 12 | 0 | 205.23 | 0.00%
Alto Jequitibá: 51 | 3 | 613.20 | 5.88%
Alto Rio Doce: 60 | 1 | 545.45 | 1.67%
Alvarenga: 125 | 1 | 3,199.39 | 0.80%
Alvinópolis: 57 | 0 | 374.93 | 0.00%
Alvorada de Minas: 48 | 1 | 1,331.11 | 2.08%
Além Paraíba: 358 | 12 | 1,012.39 | 3.35%
Amparo do Serra: 11 | 0 | 233.40 | 0.00%
Andradas: 209 | 6 | 508.80 | 2.87%
Andrelândia: 66 | 0 | 539.92 | 0.00%
Angelândia: 14 | 0 | 164.32 | 0.00%
Antônio Carlos: 45 | 0 | 393.18 | 0.00%
Antônio Dias: 74 | 2 | 794.16 | 2.70%
Aracitaba: 0 | 0 | nan | 0.00%
Araguari: 2,338 | 65 | 1,993.74 | 2.78%
Arantina: 8 | 1 | 286.23 | 12.50%
Araponga: 1 | 0 | 11.85 | 0.00%
Araporã: 408 | 4 | 5,939.73 | 0.98%
Arapuá: 19 | 0 | 670.43 | 0.00%
Araxá: 890 | 18 | 837.81 | 2.02%
Araçaí: 4 | 0 | 170.43 | 0.00%
