Dados Covid-19 por país:

{casos confirmados | mortes (% letalidade)}

Afghanistan: 33,908 | 957 (2.82%)
Albania: 3,188 | 83 (2.60%)
Algeria: 17,808 | 988 (5.55%)
Andorra: 855 | 52 (6.08%)
Angola: 396 | 22 (5.56%)
Anguilla: 3 | 0 (0.00%)
Antigua_and_Barbuda: 73 | 3 (4.11%)
Argentina: 90,680 | 1,707 (1.88%)
Armenia: 30,346 | 535 (1.76%)
Aruba: 105 | 3 (2.86%)
Australia: 9,059 | 106 (1.17%)
Austria: 18,613 | 706 (3.79%)
Azerbaijan: 22,464 | 284 (1.26%)
Bahamas: 107 | 11 (10.28%)
Bahrain: 31,528 | 103 (0.33%)
Bangladesh: 175,494 | 2,238 (1.28%)
Barbados: 98 | 7 (7.14%)
Belarus: 64,411 | 449 (0.70%)
Belgium: 62,210 | 9,781 (15.72%)
Belize: 33 | 2 (6.06%)
Benin: 1,285 | 23 (1.79%)
Bermuda: 149 | 9 (6.04%)
Bhutan: 80 | 0 (0.00%)
Bolivia: 44,113 | 1,638 (3.71%)
Bonaire, Saint Eustatius and Saba: 7 | 0 (0.00%)
Bosnia_and_Herzegovina: 6,086 | 214 (3.52%)
Botswana: 314 | 1 (0.32%)
Brazil: 1,755,779 | 69,184 (3.94%)
British_Virgin_Islands: 8 | 1 (12.50%)
Brunei_Darussalam: 141 | 3 (2.13%)
Bulgaria: 6,672 | 262 (3.93%)
Burkina_Faso: 1,020 | 53 (5.20%)
Burundi: 219 | 1 (0.46%)
Cambodia: 141 | 0 (0.00%)
Cameroon: 14,916 | 359 (2.41%)
Canada: 106,793 | 8,749 (8.19%)
Cape_Verde: 1,553 | 19 (1.22%)
Cases_on_an_international_conveyance_Japan: 696 | 7 (1.01%)
Cayman_Islands: 201 | 1 (0.50%)
Central_African_Republic: 4,200 | 52 (1.24%)
Chad: 873 | 74 (8.48%)
Chile: 306,216 | 6,682 (2.18%)
China: 84,996 | 4,641 (5.46%)
Colombia: 133,973 | 4,714 (3.52%)
Comoros: 313 | 7 (2.24%)
Congo: 1,821 | 47 (2.58%)
Costa_Rica: 6,485 | 25 (0.39%)
Cote_dIvoire: 11,750 | 79 (0.67%)
Croatia: 3,416 | 115 (3.37%)
Cuba: 2,403 | 86 (3.58%)
Curaçao: 25 | 1 (4.00%)
Cyprus: 1,010 | 19 (1.88%)
Czechia: 12,919 | 352 (2.72%)
Democratic_Republic_of_the_Congo: 7,845 | 188 (2.40%)
Denmark: 12,916 | 609 (4.72%)
Djibouti: 4,955 | 56 (1.13%)
Dominica: 18 | 0 (0.00%)
Dominican_Republic: 40,790 | 842 (2.06%)
Ecuador: 65,018 | 4,939 (7.60%)
Egypt: 79,254 | 3,617 (4.56%)
El_Salvador: 8,844 | 243 (2.75%)
Equatorial_Guinea: 3,071 | 51 (1.66%)
Eritrea: 232 | 0 (0.00%)
Estonia: 2,011 | 69 (3.43%)
Eswatini: 1,213 | 17 (1.40%)
Ethiopia: 6,973 | 120 (1.72%)
Falkland_Islands_(Malvinas): 13 | 0 (0.00%)
